Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Four Rooms,2780.0,1995,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Comedy,"Alexandre Rockwell, Allison Anders, Robert Rodriguez, Quentin Tarantino",/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"""Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.""","hotel, new year's eve, witch, bet, sperm, hotel room, anthology, los angeles, california, hoodlum, multiple storylines, woman director"
Star Wars,21864.0,1977,"A long time ago in a galaxy far, far away...","Adventure, Action, Science Fiction",George Lucas,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,"""A long time ago in a galaxy far, far away...""","empire, galaxy, rebellion, android, hermit, smuggling (contraband), freedom, rebel, rescue mission, space, planet, desert, super power, oppression, space opera, wizard, totalitarianism"
Finding Nemo,20201.0,2003,There are 3.7 trillion fish in the ocean. They're looking for one.,"Animation, Family",Andrew Stanton,/axyrDKJmQpynKOESqxO2wKmhj9n.jpg,"""There are 3.7 trillion fish in the ocean. They're looking for one.""","sydney, australia, parent child relationship, anthropomorphism, harbor, underwater, shark, pelican, fish tank, great barrier reef, sea turtle, missing child, aftercreditsstinger, duringcreditsstinger, short term memory loss, clownfish, father son reunion, protective father"
Forrest Gump,29140.0,1994,The world will never be the same once you've seen it through the eyes of Forrest Gump.,"Comedy, Drama, Romance",Robert Zemeckis,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,"""The world will never be the same once you've seen it through the eyes of Forrest Gump.""","vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, china, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, single mother, military, anti war protest, 1960s, college american football, mother son relationship, loving, feel-good"
American Beauty,12748.0,1999,... look closer,Drama,Sam Mendes,/wby9315QzVKdW9BonAefg8jGTTb.jpg,"""... look closer""","estate agent, adultery, coming out, first time, virgin, cheating, parent child relationship, age difference, midlife crisis, cheerleader, dark comedy, rose, satire, dysfunctional family, suburbia, coming of age, sexual fantasy, dysfunctional marriage, marijuana, loneliness, love affair, exercise, extramarital affair, realtor, quitting a job, voyeur, neighborhood, retired army man, closeted homosexual, singing in a car, gay theme, teenager, camcorder"
Citizen Kane,5906.0,1941,Some called him a hero...others called him a heel.,"Mystery, Drama",Orson Welles,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,"""Some called him a hero...others called him a heel.""","media tycoon, florida, art collector, newspaper, capitalist, journalist, sleigh, banker, american dream, failure, money, snowglobes, child"
Dancer in the Dark,1932.0,2000,"In a world of shadows, she found the light of life.","Drama, Crime",Lars von Trier,/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg,"""In a world of shadows, she found the light of life.""","factory worker, dying and death, individual, immigrant, blindness and impaired vision, dancing, eye operation, small town, naivety, hereditary disease, robbery, court, musical, female friendship, murder, debt, execution, police officer, trailer, daydreaming, coping mechanisms, mother son relationship"
The Fifth Element,11377.0,1997,There is no future without it.,"Science Fiction, Action, Adventure",Luc Besson,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,"""There is no future without it.""","new york city, flying car, taxi, egypt, race against time, saving the world, cyborg, dystopia, anti hero, stowaway, space travel, arms dealer, alien life-form, end of the world, priest, shootout, police chase, cab driver, cyberpunk, archaeologist, space opera, military, opera singer, futuristic city, ancient evil, cruise liner, elemental, hieroglyphics, spaceship, good versus evil, alien robot"
Metropolis,3001.0,1927,There can be no understanding between the hands and the brain unless the heart acts as mediator.,"Drama, Science Fiction",Fritz Lang,/kr9wXRN23zLuWJIelahas1mtnYj.jpg,"""There can be no understanding between the hands and the brain unless the heart acts as mediator.""","future, android, metropolis, jealousy, son, based on comic, control, mecha, conspiracy, steampunk, robot, adult animation, synthetic human, anime"
Pirates of the Caribbean: The Curse of the Black Pearl,21797.0,2003,Prepare to be blown out of the water.,"Adventure, Fantasy, Action",Gore Verbinski,/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,"""Prepare to be blown out of the water.""","blacksmith, east india company, gold, exotic island, governor, skeleton, jamaica, british empire, pirate, swashbuckler, 18th century, caribbean sea, aftercreditsstinger, pirate ship, british navy, tortuga, based on theme park ride"
